City,Lat,Long,Google Maps Link,Name,Category,List,Closed
Antwerpen,51.2343232,4.4047947999999995,https://www.google.com/maps/place/The+Jane/data=!4m2!3m1!1s0x47c3f718f6e100bd:0x6c40793f3040ef3d,The Jane,restaurant,want to go,
Antwerpen,51.22904,4.4048229999999995,https://www.google.com/maps/place/Zilte/data=!4m2!3m1!1s0x47c135a4a0c07705:0xa2953baae8c014e9,Zilte,restaurant,want to go,
Amsterdam,52.354444400000006,4.887222200000001,https://www.google.com/maps/place/IZAKAYA/data=!4m2!3m1!1s0x47c609f2470be953:0xb5191abdbfb99dd0,IZAKAYA,restaurant,want to go,
Amsterdam,52.401405499999996,4.874832500000001,https://www.google.com/maps/place/Lars+Amsterdam/data=!4m2!3m1!1s0x47c609e5ada0dd75:0x548809de0e67a6b5,Lars Amsterdam,restaurant,want to go,
Aptos,36.9772488,-121.8996427,https://www.google.com/maps/place/Beklina/data=!4m2!3m1!1s0x808e1686d22b28ef:0x60d97bda669a0a09,Beklina,shop,want to go,
Archway,51.5606529,-0.13692759999999998,https://www.google.com/maps/place/Norman's+Cafe/data=!4m2!3m1!1s0x48761b1f9ae0359f:0xa774452c291a3a37,Norman's Cafe,cafe,want to go,
Argentina,-34.5878021,-58.430435800000005,https://www.google.com/maps/place/Chori/data=!4m2!3m1!1s0x95bcb588c22f7999:0x910a40368a2b8c66,Chori,restaurant,want to go,
Argentina,-34.5863164,-58.424268899999994,https://www.google.com/maps/place/Don+Julio+Parrilla/data=!4m2!3m1!1s0x95bcb586ea7789a1:0x5f51f7dc0f6a6859,Don Julio Parrilla,other,want to go,
Argentina,-34.594221999999995,-58.42468679999999,https://www.google.com/maps/place/El+Per%C3%B3n+Per%C3%B3n/data=!4m2!3m1!1s0x95bcb5914341b517:0x19c75660aa802caf,El Perón Perón,bar,want to go,
Argentina,-34.5781077,-58.460841599999995,https://www.google.com/maps/place/La+Mezzetta/data=!4m2!3m1!1s0x95bcb5dfaf720893:0x5910f2a90757313,La Mezzetta,restaurant,want to go,
Argentina,-34.576992000000004,-58.4123296,https://www.google.com/maps/place/Mishiguene/data=!4m2!3m1!1s0x95bcb579efe9abb3:0x84eb498e7374a1b1,Mishiguene,restaurant,want to go,
Argentina,-34.5530645,-58.4366164,https://www.google.com/maps/place/Narda+Comedor/data=!4m2!3m1!1s0x95bcb44b2fc90003:0xfd80bf538e58d963,Narda Comedor,restaurant,want to go,
Argentina,-34.5935281,-58.424913700000005,https://www.google.com/maps/place/Nola/data=!4m2!3m1!1s0x95bcb589af08a5f9:0x216de191bf075902,Nola,bar,want to go,
Arun Amarin,13.779815099999999,100.4750035,https://www.google.com/maps/place/Copper+Beyond+Buffet+The+Sense+Pinklao/data=!4m2!3m1!1s0x30e2998649ebcedd:0xa5c0069a9f6182,Copper Beyond Buffet The Sense Pinklao,restaurant,want to go,
Asheville,35.57782789999999,-82.59188069999999,https://www.google.com/maps/place/Neng+Jr.'s/data=!4m2!3m1!1s0x88598dfc388f7a17:0x896ffb6e50438518,Neng Jr.'s,restaurant,want to go,
Auckland,-36.8691767,174.8595397,https://www.google.com/maps/place/Ashby+Pies/data=!4m2!3m1!1s0x6d0d4b752e509c85:0x44af7632260a54ed,Ashby Pies,bakery,want to go,
Austin,30.25448219999999,-97.717612,https://www.google.com/maps/place/la+Barbecue/data=!4m2!3m1!1s0x8644b5aec36d1d21:0xfd5679cbbac70752,la Barbecue,bar,want to go,
Austin,30.209856600000002,-97.7873058,https://www.google.com/maps/place/Leroy+and+Lewis+Barbecue/data=!4m2!3m1!1s0x8644b495681d7af5:0x91a8de87bc0c5716,Leroy and Lewis Barbecue,bar,want to go,
